iter	Passed	Remaining
0	152	30429
1	293	29033
2	439	28869
3	563	27631
4	699	27273
5	821	26572
6	945	26071
7	1069	25673
8	1195	25370
9	1308	24858
10	1424	24475
11	1545	24206
12	1658	23861
13	1796	23870
14	1925	23745
15	2046	23539
16	2180	23469
17	2315	23409
18	2466	23491
19	2624	23618
20	2815	24002
21	3000	24277
22	3165	24363
23	3328	24409
24	3490	24436
25	3621	24234
26	3761	24102
27	3906	23997
28	4084	24087
29	4296	24347
30	4467	24355
31	4638	24351
32	4799	24289
33	4959	24215
34	5126	24165
35	5277	24043
36	5410	23837
37	5546	23646
38	5693	23505
39	5829	23318
40	5971	23156
41	6106	22972
42	6297	22992
43	6509	23080
44	6683	23020
45	6845	22918
46	6989	22751
47	7124	22561
48	7260	22374
49	7397	22192
50	7533	22010
51	7685	21873
52	7817	21683
53	7963	21530
54	8188	21586
55	8376	21539
56	8574	21511
57	8714	21334
58	8868	21194
59	9000	21000
60	9137	20821
61	9277	20650
62	9425	20495
63	9558	20311
64	9687	20119
65	9834	19967
66	9952	19756
67	10092	19591
68	10223	19409
69	10366	19252
70	10514	19103
71	10651	18935
72	10805	18798
73	10953	18650
74	11085	18475
75	11267	18384
76	11432	18261
77	11575	18104
78	11735	17974
79	11882	17823
80	12041	17690
81	12189	17540
82	12339	17394
83	12495	17255
84	12662	17131
85	12814	16986
86	12961	16834
87	13091	16661
88	13288	16573
89	13540	16549
90	13728	16444
91	13912	16332
92	14077	16196
93	14215	16030
94	14350	15861
95	14512	15722
96	14641	15546
97	14779	15383
98	14922	15223
99	15069	15069
100	15181	14881
101	15320	14719
102	15445	14545
103	15571	14374
104	15713	14216
105	15878	14081
106	16031	13933
107	16187	13789
108	16346	13646
109	16514	13511
110	16678	13373
111	16822	13217
112	16963	13060
113	17112	12909
114	17241	12743
115	17361	12572
116	17483	12402
117	17612	12239
118	17728	12067
119	17837	11891
120	17973	11734
121	18108	11577
122	18235	11415
123	18367	11257
124	18479	11087
125	18600	10924
126	18723	10762
127	18871	10615
128	19002	10458
129	19126	10299
130	19248	10138
131	19382	9985
132	19539	9843
133	19686	9696
134	19829	9547
135	19966	9396
136	20110	9248
137	20249	9097
138	20361	8935
139	20518	8793
140	20653	8642
141	20785	8490
142	20919	8338
143	21050	8186
144	21178	8033
145	21311	7882
146	21422	7723
147	21543	7569
148	21673	7418
149	21805	7268
150	21932	7117
151	22064	6967
152	22188	6816
153	22314	6665
154	22449	6517
155	22628	6382
156	22767	6235
157	22922	6093
158	23065	5947
159	23221	5805
160	23379	5663
161	23529	5519
162	23663	5371
163	23797	5223
164	23929	5075
165	24068	4929
166	24175	4777
167	24307	4629
168	24439	4483
169	24558	4333
170	24681	4185
171	24815	4039
172	24954	3894
173	25100	3750
174	25232	3604
175	25365	3458
176	25500	3313
177	25649	3170
178	25800	3026
179	25945	2882
180	26090	2738
181	26212	2592
182	26368	2449
183	26506	2304
184	26651	2160
185	26784	2016
186	26923	1871
187	27092	1729
188	27263	1586
189	27405	1442
190	27546	1298
191	27675	1153
192	27795	1008
193	27941	864
194	28080	720
195	28215	575
196	28341	431
197	28465	287
198	28613	143
199	28747	0
